date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:54	234651/234651	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Oct%202020%2015:17:22%20GMT	https://promosisuzukijogja.com/uploads/news/Karimun-Spesial-Edition.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/news/Karimun-Spesial-Edition.jpg	(from https://promosisuzukijogja.com/)
12:20:54	1808818/1808818	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Oct%202020%2015:58:02%20GMT	https://promosisuzukijogja.com/uploads/news/Promo-Suzuki-XL7-Yogyakarta.png	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/news/Promo-Suzuki-XL7-Yogyakarta.png	(from https://promosisuzukijogja.com/)
12:20:54	1553602/1553602	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Oct%202020%2015:20:38%20GMT	https://promosisuzukijogja.com/uploads/news/Kredit-Suzuki-Jogja.png	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/news/Kredit-Suzuki-Jogja.png	(from https://promosisuzukijogja.com/)
12:20:54	307377/307377	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Feb%202020%2017:40:28%20GMT	https://promosisuzukijogja.com/uploads/automobile/xl7_thumb2.png	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/xl7_thumb2.png	(from https://promosisuzukijogja.com/)
12:20:54	59979/59979	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Nov%202019%2017:41:16%20GMT	https://promosisuzukijogja.com/uploads/automobile/all-new-ertiga-thumb2.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/all-new-ertiga-thumb2.jpg	(from https://promosisuzukijogja.com/)
12:20:54	81340/81340	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Nov%202019%2017:41:38%20GMT	https://promosisuzukijogja.com/uploads/automobile/ertiga-sport-thumb.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/ertiga-sport-thumb.jpg	(from https://promosisuzukijogja.com/)
12:20:54	49804/49804	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Nov%202019%2017:42:26%20GMT	https://promosisuzukijogja.com/uploads/automobile/wagon-r-thumb3.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/wagon-r-thumb3.jpg	(from https://promosisuzukijogja.com/)
12:20:55	52750/52750	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Nov%202019%2017:41:24%20GMT	https://promosisuzukijogja.com/uploads/automobile/b6244-mun-rgs.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/b6244-mun-rgs.jpg	(from https://promosisuzukijogja.com/)
12:20:55	44761/44761	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Nov%202019%2017:40:46%20GMT	https://promosisuzukijogja.com/uploads/automobile/APV-ARENA-thumb.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/APV-ARENA-thumb.jpg	(from https://promosisuzukijogja.com/)
12:20:55	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jun%202021%2005:20:59%20GMT	https://promosisuzukijogja.com/uploads/automobile/ignis-thumb-gx1.jpg	C:/My%20Web%20Sites/Modif%20website/promosisuzukijogja.com/uploads/automobile/ignis-thumb-gx1.jpg	(from https://promosisuzukijogja.com/)
